uuid,creation_date,frequency,day,updated_at,next_payment_day,status
30f4e25e-3e37-462e-8c3c-42f24f54350f,1724838709,monthly,fifteenth_day,2024-10-15T08:00:41.445627563Z,15,enabled
6da398ad-079d-49b9-8668-6d7ce4d22683,1724659829,monthly,fifteenth_day,1724659829,15,enabled
2d30fe2d-6c32-4b8a-a19b-906184f64f62,1731309159,monthly,fifteenth_day,1731309159,15,enabled
c30180f3-b35c-470c-b25a-f12ec4ce3340,1725414982,monthly,first_day,2024-10-01T08:00:37.516552581Z,1,enabled
9f5768db-e953-4057-9fa5-264c46293fbd,1726267511,biweekly,friday,2024-10-02T02:33:10.97923183Z,11,disabled
35d3d7c2-2a05-4eae-bdf2-7896e611bbc6,1725453772,biweekly,monday,1725453772,16,enabled
9295f1b0-c1cf-4dca-b720-84146395e058,1725501541,biweekly,monday,1725501541,16,enabled
c398bb9d-8ba5-4f31-9dd2-97d09a289360,1725453807,biweekly,monday,1725453807,16,enabled
1958d8e3-cb69-4190-a47e-58008d526fc8,1731623845,biweekly,tuesday,2024-11-26T08:00:26.493628458Z,10,enabled
919436cc-5f02-43d1-9636-d72e1490bb3d,1731895648,biweekly,monday,1731895648,2,enabled
6b36d785-5958-4469-a438-9b2e09cbf973,1732222219,weekly,thursday,2024-11-28T08:00:26.049462722Z,5,enabled
9a38d5a4-079d-4300-a34f-d8dd3077532e,1732475627,biweekly,friday,2024-11-24T19:14:11.696320921Z,6,disabled
9097a093-d124-4cbd-b5bc-b27ef6d34f3d,1730957777,weekly,saturday,2024-11-30T08:00:32.95440582Z,7,enabled
a0e18e1a-7d45-4157-ab4a-425749d214bc,1732783593,monthly,first_day,2024-12-01T08:01:43.37342519Z,1,enabled
89fc688d-51ba-4877-92cc-6428cc4d2c4b,1730028051,biweekly,friday,2024-11-22T08:00:41.160438463Z,6,enabled
0e835ee0-7305-4890-bdfe-d80754312cd7,1732146351,biweekly,thursday,1732146351,28,enabled
7fb21ac5-9ef1-4a8d-ba9a-ec83c7ee14c9,1732146359,biweekly,thursday,1732146359,28,enabled
576f559a-3917-4a7c-90cf-94c0d4b8c824,1732812254,monthly,fifteenth_day,2024-11-28T16:54:41.849364978Z,15,disabled
76a558c9-e51e-47a7-9891-dee6041e0bfd,1732812208,monthly,first_day,2024-12-01T08:00:35.002747183Z,1,enabled
6d125ef1-c556-41f3-ab86-911271613e08,1731857232,biweekly,friday,2024-11-28T01:10:19.339488361Z,29,enabled
83e1815d-b48f-47e6-89b6-9b52e5875c79,1727454824,monthly,first_day,2024-11-09T21:13:51.566857373Z,1,enabled
c97f1147-1f59-4a0d-a1e2-12c65b4fcd67,1732736429,weekly,thursday,2024-11-28T08:00:29.438429136Z,5,enabled
3cc7a3ee-4691-4f60-a549-268e813e2c22,1723074942,monthly,first_day,2024-12-01T08:00:29.034582132Z,1,enabled
8f1c09f4-9ddd-4a67-9215-4c590fb96277,1730046146,monthly,first_day,2024-12-01T15:01:34.155304907Z,1,disabled
23c462ef-041e-474c-9cce-c2ce9c016601,1727529617,weekly,monday,2024-09-30T08:00:29.730334938Z,7,enabled
823ec5d0-ebff-47e3-9586-79f325b39efe,1727529607,weekly,monday,2024-09-30T08:00:29.137376339Z,7,enabled
a158c244-03e9-49ae-96d8-59951b591f7e,1727529626,weekly,monday,2024-09-30T08:00:28.777284511Z,7,enabled
c53778ff-a016-4876-b907-80c0c4b75dd4,1727529592,weekly,monday,2024-09-30T08:00:35.219934328Z,7,enabled
9e6f29ec-36af-4e32-bffc-505d56bac2de,1723561764,monthly,fifteenth_day,2024-10-05T01:52:47.417673462Z,15,disabled
3cf41387-d041-409f-aba3-738649fbd88d,1731171989,monthly,first_day,2024-12-01T08:00:31.871266382Z,1,enabled
19fb6887-3ecb-49f4-9164-22cba4d91b14,1722482475,weekly,saturday,1722482475,3,enabled
902c6c8a-7664-4dd5-92f2-185e746e6d93,1722483043,weekly,saturday,1722483043,3,enabled
e6b3f591-0335-48ab-888e-2f9dfec2bcc1,1728948148,monthly,first_day,2024-12-01T08:01:49.639187968Z,1,enabled
bf14134e-4036-4f48-9a98-13bb4933ece8,1729023052,weekly,friday,2024-11-07T19:29:35.169486216Z,8,disabled
cbf7b539-3720-4e83-aa2c-a938c177dd45,1729023031,weekly,friday,2024-11-01T08:01:55.130140904Z,8,enabled
d0e98c8e-621f-4236-8753-5e48d9103fd4,1729023007,weekly,friday,2024-10-18T08:00:42.977499974Z,25,enabled
db11fd4a-163c-4e9f-a6c7-fbc4940530c2,1731955072,weekly,friday,2024-11-29T08:00:43.085333331Z,6,enabled
39cbcd5c-2f4f-49a4-b8fc-66ca199e7f62,1728423681,biweekly,sunday,2024-12-01T08:00:30.419463775Z,15,enabled
51267cd6-d4f3-44ff-9e97-cc2beba16dc4,1728423746,biweekly,sunday,2024-12-01T08:00:30.693104434Z,15,enabled
470b7e12-8a29-4ee1-8226-0e33b1fafeb0,1727211738,weekly,friday,2024-09-28T15:38:43.881536444Z,4,disabled
91ca2fa6-9457-4105-90f9-3923479935fc,1727211756,weekly,saturday,2024-09-28T15:39:04.540846355Z,5,disabled
a98bf884-85ea-4af4-abe9-49855eced9e3,1727211772,weekly,saturday,2024-09-28T14:00:41.611464042Z,5,disabled
6bf95736-7798-4853-9701-37d2faa57677,1731114197,biweekly,monday,1731114197,18,enabled
a43e31d5-29ab-4549-9700-74f4445ea786,1731114211,biweekly,monday,1731114211,18,enabled
ce8adb1e-57d4-432a-9550-6804f2fce0fa,1729368530,biweekly,friday,2024-12-01T08:01:49.326953346Z,13,enabled
75d642b0-d5e1-44a3-b4fc-85d49311831f,1726450104,monthly,fifteenth_day,2024-09-20T18:04:46.403084279Z,15,enabled
f3aa43ff-ba4e-47f4-ba8c-7decdf869162,1732737452,biweekly,thursday,2024-11-27T19:58:52.030615701Z,5,enabled
7aa8a90b-29c2-41c8-9624-37a65e696d15,1728148698,weekly,saturday,2024-11-12T14:57:57.030694205Z,16,disabled
174771bb-0f07-4393-8484-46aa6d508bd2,1722714758,weekly,monday,2024-08-12T06:44:05.931277483Z,5,disabled
22419b06-691f-468a-bdfe-86c8d4e3923e,1722714723,weekly,monday,2024-08-12T06:44:16.451569987Z,5,disabled
9e5c58dd-3faf-4287-8ce5-121da672b1e9,1722714704,weekly,monday,2024-08-12T06:44:22.911757267Z,5,disabled
d76d2317-185d-416a-9f12-5cdba9247057,1722714741,weekly,monday,2024-08-12T06:44:10.211533509Z,5,disabled
0d1dae30-66da-44c9-ae92-fcc85f0e3416,1732151290,biweekly,monday,1732151290,2,enabled
1bfe8305-d2c3-44df-b984-58a4d00f05db,1731629366,biweekly,thursday,1731629366,28,enabled
a90f4de9-33e6-4579-b241-50d2a4e733fa,1725541384,biweekly,monday,1725541384,16,enabled
de7bc9af-95cc-408b-83bc-6d1b1fad29bb,1733102397,biweekly,thursday,1733102397,12,enabled
ffb657b0-c97b-46df-aa05-d3638a0d78a0,1733102375,biweekly,thursday,1733102375,12,enabled
1b337b57-8c27-4de4-aabd-ff2de6873fec,1729806587,biweekly,monday,2024-12-02T08:00:24.470852323Z,16,enabled
56684c6f-c9f4-418d-995b-35ae42d4b9ce,1727951605,weekly,friday,2024-11-29T08:00:36.325417314Z,6,enabled
b07f26bf-9d33-4faa-ace4-b24caad5be84,1726088509,biweekly,friday,1726088509,20,enabled
ef5c3eb8-4672-4da3-b793-f0478b9847c2,1726088541,weekly,friday,1726088541,13,enabled
d8f58a6f-0353-4dac-bbc8-1882f19a0409,1727811908,monthly,first_day,2024-12-01T08:01:47.996439725Z,1,enabled
fa229600-bfc5-422f-a45a-0659134bb7be,1730346092,biweekly,monday,2024-10-31T03:44:12.699252481Z,11,enabled
8b3dab1d-74e3-4c23-ab28-6c801c095293,1729364309,monthly,first_day,2024-12-01T08:00:38.228900567Z,1,enabled
fc644ed9-1731-4459-9378-204532bc68c9,1722939655,biweekly,thursday,2024-11-24T08:00:31.971439323Z,5,enabled
